"","year","stock_accumulation","stock_price","bonds","inflation"
"109",1991,0.275,0.222,0.094,0.015
"110",1992,-0.022,-0.06,0.089,0.003
"111",1993,0.442,0.391,0.067,0.019
"112",1994,-0.058,-0.092,0.1,0.025
"113",1995,0.215,0.165,0.082,0.051
"114",1996,0.117,0.072,0.074,0.015
"115",1997,0.124,0.079,0.061,-0.002
"116",1998,0.119,0.077,0.05,0.016
"117",1999,0.176,0.135,0.07,0.018
"118",2000,0.065,0.029,0.055,0.058
"119",2001,0.061,0.026,0.06,0.031
"120",2002,-0.062,-0.096,0.052,0.03
"121",2003,0.134,0.087,0.056,0.024
"122",2004,0.278,0.228,0.053,0.026
"123",2005,0.206,0.157,0.052,0.028
"124",2006,0.249,0.198,0.059,0.033
"125",2007,0.223,0.179,0.063,0.03
"126",2008,-0.433,-0.458,0.04,0.037
"127",2009,0.404,0.341,0.057,0.021
"128",2010,0.064,0.022,0.055,0.027
"129",2011,-0.085,-0.124,0.0367,0.03
"130",2012,0.138,0.086,0.0327,0.022
"131",2013,0.181,0.133,0.0423,0.027
"132",2014,0.058,0.015,0.0281,0.017
"133",2015,0.027,-0.019,0.029,0.017
"134",2016,0.13,0.083,0.028,0.015
"135",2017,0.136,0.089,0.0263,0.019
"136",2018,-0.03,-0.069,0.023,0.018
"137",2019,0.258,0.208,0.0137,0.018
"138",2020,0.034,0.004,0.0097,0.0084
"139",2021,0.152,0.111,0.0167,0.035
"140",2022,0.004,-0.039,0.04029,0.078
"141",2023,0.07,0.027,0.03958,0.041
"142",2024,0.174,0.133,0.04366,0.024
